run_id,tier,hypothesis_id,enabled,thesis,source_urls,selector_a,selector_b,relation,metric,threshold,margin,weight,confidence,training_role
1,run1_global,global_arctic_below_continental,true,"Arctic climate should have lower intrinsic carrying capacity than continental climate because staple agriculture is season-limited.","https://www.fao.org/4/U8480E/U8480E07.htm","climate=arctic","climate=continental",mean_lt,mean,,20,2.5,high,train
1,run1_global,global_atoll_below_flatland,true,"Atolls are land-limited and saline and should remain far below flatlands for local carrying capacity.","https://www.fao.org/4/U8480E/U8480E07.htm","topography=atoll","topography=flatland",mean_lt,mean,,35,3.0,high,train
1,run1_global,global_mountain_wasteland_cap,true,"Mountain wasteland should be capped very low without a strong cultivated staple system.","https://www.fao.org/gaez/gaezv4/en","topography=mountain_wasteland","",cap,max,25,0,3.0,high,train
1,run1_global,global_weak_staple_luxury_cap,true,"Luxury goods do not sustain population if staple calories are weak.","https://www.fao.org/4/U8480E/U8480E07.htm","game_best_staple_mmr<0.35;game_luxury_signal_mmr>=0.65","",cap,max,42,0,4.0,high,train
1,run1_global,global_staple_water_beats_luxury,true,"Strong water-supported staple systems should outrank luxury-rich staple-poor locations.","https://www.fao.org/4/ac832e/ac832e06.htm","game_best_staple_mmr>=0.75;game_water_signal>=0.50","game_best_staple_mmr<0.35;game_luxury_signal_mmr>=0.65",mean_gt,mean,,35,4.0,high,train
1,run1_global,global_desert_no_water_cap,true,"Desert locations without water or staple evidence should not rank as carrying-capacity cores.","https://www.fao.org/gaez/gaezv4/en","vegetation=desert;game_water_signal<0.20;game_best_staple_mmr<0.45","",cap,max,45,0,3.0,high,train
1,run1_global,global_sparse_no_water_cap,true,"Sparse dry locations without water or staple evidence should remain low to moderate.","https://www.fao.org/gaez/gaezv4/en","vegetation=sparse;game_water_signal<0.20;game_best_staple_mmr<0.45","",cap,max,50,0,2.5,high,train
1,run1_global,global_high_staple_beats_weak_staple,true,"A strong staple-calorie base should dominate weak-staple landscapes in carrying capacity.","https://www.fao.org/4/U8480E/U8480E07.htm","game_best_staple_mmr>=0.75","game_best_staple_mmr<0.35",mean_gt,mean,,40,4.0,high,train
2,run2_crop_water,gaez_high_rainfed_staple_floor,true,"GAEZ high rainfed staple potential is evidence for at least moderate-high intrinsic carrying capacity.","https://www.fao.org/gaez/gaezv4/en","best_staple_target>=0.75","",floor,mean,70,0,2.0,medium,train
2,run2_crop_water,gaez_low_staple_with_weak_game_cap,true,"When both external staple potential and game staple MMR are weak the model should keep capacity low.","https://www.fao.org/gaez/gaezv4/en","best_staple_target<0.30;game_best_staple_mmr<0.45","",cap,max,55,0,2.5,medium,train
2,run2_crop_water,irrigated_water_floor,true,"Irrigation evidence plus local water can raise otherwise arid land above rainfed-only expectations.","https://www.fao.org/nr/water/aquastat/irrigationmap/index10.stm","irrigation_support_target>=0.65;game_water_signal>=0.50","",floor,mean,70,0,3.0,high,train
2,run2_crop_water,hydro_water_staple_floor,true,"Major river or water-system evidence supporting staple land should create high carrying-capacity potential.","https://www.hydrosheds.org/hydroatlas","hydro_river_strength_target>=0.60;game_best_staple_mmr>=0.60","",floor,mean,72,0,2.0,medium,train
2,run2_crop_water,rice_warm_water_high,true,"Warm water-rich rice landscapes should rank above cold or dry non-water rice-poor landscapes.","https://www.fao.org/4/ac832e/ac832e06.htm","gaez_rice_potential_target>=0.65;game_water_signal>=0.50","climate=arctic|cold_arid;game_water_signal<0.25",mean_gt,mean,,35,2.5,high,train
2,run2_crop_water,wheat_temperate_plain_floor,true,"Strong wheat evidence in temperate open landscapes should support high carrying capacity.","https://www.fao.org/4/ac832e/ac832e06.htm","gaez_wheat_potential_target>=0.70;climate=continental|mediterranean|oceanic;topography=flatland|hills","",floor,mean,68,0,2.0,medium,train
2,run2_crop_water,millet_dry_resilience_floor,true,"Millet or sorghum-like dry cereal potential can make dry zones viable but should not create top-tier capacity alone.","https://www.fao.org/4/U8480E/U8480E07.htm","gaez_millet_potential_target>=0.70;climate=arid|cold_arid","",floor,mean,55,0,1.5,medium,train
2,run2_crop_water,potato_cool_upland_floor,true,"Potato/root-crop potential can support cool uplands better than weak cereal land.","https://www.fao.org/4/U8480E/U8480E07.htm","gaez_potato_potential_target>=0.70;topography=hills|plateau|mountains","",floor,mean,58,0,1.5,medium,train
2,run2_anchors,nile_anchor_floor,true,"Nile valley and delta saturation anchors should remain high because irrigation overcomes rainfed aridity.","https://www.fao.org/nr/water/aquastat/irrigationmap/index10.stm","anchor_ids~nile","",floor,mean,78,0,4.0,high,train
2,run2_anchors,bengal_ganges_anchor_floor,true,"Bengal and Ganges saturated agrarian cores should remain high.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~bengal|ganges","",floor,mean,85,0,4.0,high,train
2,run2_anchors,yangtze_anchor_floor,true,"Lower Yangtze saturated agrarian cores should remain high.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~yangtze","",floor,mean,85,0,4.0,high,train
2,run2_anchors,java_anchor_floor,true,"Java rice core should remain high because intensive wet-rice agriculture supports dense settlement.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~java","",floor,mean,75,0,4.0,high,train
2,run2_anchors,japan_anchor_floor,true,"Selected Japanese rice plains should remain high but not necessarily maxed everywhere.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~kinai|toukaidou","",floor,mean,78,0,3.5,high,train
2,run2_anchors,po_flanders_anchor_floor,true,"Po Valley and Flanders saturated agrarian cores should remain high.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~po_valley|flanders","",floor,mean,82,0,3.5,high,train
2,run2_anchors,north_china_anchor_floor,true,"North China plain saturated agrarian cores should remain high.","https://www.fao.org/4/ac832e/ac832e06.htm","anchor_ids~north_china","",floor,mean,88,0,3.5,high,train
3,run3_hierarchy,egypt_farmland_beats_egypt_sparse,true,"Inside Egypt irrigated or cultivated farmland should outrank Egyptian sparse or desert hinterland.","https://www.fao.org/nr/water/aquastat/irrigationmap/index10.stm","region=egypt_region;vegetation=farmland","region=egypt_region;vegetation=desert|sparse",mean_gt,mean,,18,3.0,high,train
3,run3_hierarchy,andes_weak_staple_upland_cap,true,"Andean highland locations without strong staple evidence should not all become top-tier carrying-capacity locations.","https://www.fao.org/gaez/gaezv4/en","region=andes_region;topography=mountains|plateau;game_best_staple_mmr<0.55","",cap,max,72,0,2.5,medium,train
3,run3_hierarchy,farmland_beats_sparse_same_climate,true,"Within the same broad climate logic farmland should outrank sparse land on average.","https://www.fao.org/gaez/gaezv4/en","vegetation=farmland","vegetation=sparse",mean_gt,mean,,20,2.5,high,train
3,run3_hierarchy,wetlands_with_rice_or_water_floor,true,"Wetlands with rice or water evidence should be productive carrying-capacity landscapes rather than generic wasteland.","https://www.fao.org/4/ac832e/ac832e06.htm","topography=wetlands;game_water_signal>=0.40;game_best_staple_mmr>=0.55","",floor,mean,70,0,2.0,medium,train
3,run3_hierarchy,coastal_fish_only_not_top_tier,true,"Fish or coast support alone should not create top-tier land carrying capacity without staple support.","https://www.fao.org/4/U8480E/U8480E07.htm","game_protein_support_mmr>=0.75;game_best_staple_mmr<0.45","",cap,max,68,0,2.5,high,train
3,run3_hierarchy,low_confidence_external_targets_validation,true,"Low-confidence external evidence rows are diagnostic and should not directly train the model.","https://www.fao.org/gaez/gaezv4/en","target_confidence=low","",cap,max,120,0,0.0,medium,validation_only
3,run3_hierarchy,special_modifier_locations_excluded,true,"Author-authored special modifier locations are kept in reports but excluded from hypothesis training loss.","https://www.fao.org/gaez/gaezv4/en","special_modifier_location=true","",cap,max,120,0,0.0,medium,excluded
